办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24407824000,26.78,20.0,0.45,20.64,3519.0,369.0,20.1,新会区今古洲办税服务厅,91.400000000000006
24407840300,37.47,13.0,0.8,26.33,1585.0,222.0,37.4,鹤山市办税服务厅,89.400000000000006
24407850200,0.0,1.0,0.03,0.0,51.0,4.0,1.2,恩平市大槐分局横陂组办税服务厅,87.700000000000003
kpi划分,87.408333333333346,---,---,---,---,---,---,---
24407041009,10.67,15.0,1.27,10.94,522.0,172.0,16.4,江海办税服务厅,86.299999999999997
24407030600,23.47,18.0,0.82,15.01,351.0,65.0,28.4,蓬江区荷塘办税服务厅,86.0
24407851300,0.0,0.0,0.0,0.0,10.0,4.0,0.0,恩平市大田分局良西组办税服务厅,85.400000000000006
24407851500,0.0,0.0,0.0,0.0,29.0,4.0,0.0,恩平市圣堂分局圣堂组办税服务厅,85.400000000000006
24407850300,0.0,0.0,0.0,0.0,8.0,10.0,0.0,恩平市大槐分局大槐组办税服务厅,85.400000000000006
24407851500,0.0,0.0,0.0,0.0,15.0,11.0,0.0,恩平市圣堂分局君堂组办税服务厅,85.400000000000006
24407851300,0.0,0.0,0.0,0.0,27.0,4.0,0.0,恩平市大田分局大田组办税服务厅,85.400000000000006
kpi划分,84.89166666666668,---,---,---,---,---,---,---
24407851600,0.0,0.0,1.67,0.0,59.0,7.0,1.3,恩平市东成分局办税服务厅,84.700000000000003
24407851400,0.0,0.0,1.71,0.0,12.0,8.0,3.4,恩平市沙湖分局办税服务厅,84.700000000000003
24407850100,31.9,9.0,1.27,20.82,894.0,136.0,23.2,恩平市城区分局办税服务厅,83.799999999999997
24407830200,23.78,15.0,2.28,19.52,543.0,285.0,24.5,开平城区办税服务厅,83.400000000000006
24407031100,34.79,19.0,1.36,23.25,826.0,150.0,24.1,蓬江区个体办税服务厅,83.299999999999997
kpi划分,81.825000000000003,---,---,---,---,---,---,---
24407818100,45.9,16.0,1.32,26.47,996.0,155.0,22.3,台城办税服务厅,81.5
24407030800,62.57,13.0,1.19,34.67,310.0,55.0,14.9,蓬江区棠下办税服务厅,75.900000000000006
